,Username,Port,Login_Time
0,root,None,Not logged in
1,daemon,None,Not logged in
2,bin,None,Not logged in
3,sys,None,Not logged in
4,sync,None,Not logged in
5,games,None,Not logged in
6,man,None,Not logged in
7,lp,None,Not logged in
8,mail,None,Not logged in
9,news,None,Not logged in
10,uucp,None,Not logged in
11,proxy,None,Not logged in
12,www-data,None,Not logged in
13,backup,None,Not logged in
14,list,None,Not logged in
15,irc,None,Not logged in
16,gnats,None,Not logged in
17,nobody,None,Not logged in
18,systemd-network,None,Not logged in
19,systemd-resolve,None,Not logged in
20,syslog,None,Not logged in
21,messagebus,None,Not logged in
22,_apt,None,Not logged in
23,uuidd,None,Not logged in
24,avahi-autoipd,None,Not logged in
25,usbmux,None,Not logged in
26,dnsmasq,None,Not logged in
27,rtkit,None,Not logged in
28,cups-pk-helper,None,Not logged in
29,speech-dispatcher,None,Not logged in
30,whoopsie,None,Not logged in
31,kernoops,None,Not logged in
32,saned,None,Not logged in
33,pulse,None,Not logged in
34,avahi,None,Not logged in
35,colord,None,Not logged in
36,hplip,None,Not logged in
37,geoclue,None,Not logged in
38,gnome-initial-setup,None,Not logged in
39,gdm,None,Not logged in
40,sshd,None,Not logged in
41,cloudera,pts/1    127.0.0.1,2018-11-17 21:16:00
42,mysql,None,Not logged in
43,postfix,None,Not logged in
44,Shukrithi,tty4,2020-05-06 21:45:00
45,statd,None,Not logged in
46,gitlog,None,Not logged in
47,gitdaemon,None,Not logged in
48,systemd-timesync,None,Not logged in
49,tcpdump,None,Not logged in
50,_rpc,None,Not logged in
51,nm-openvpn,None,Not logged in
52,systemd-coredump,None,Not logged in
