,Action,Version,Start_time,End_time,Session_duration
0,reboot   system boot,5.3.0-53-generic,2020-05-28 12:21:00.000000,2020-06-01 01:27:37.715986,3 days 13:06:37.715986000
1,reboot   system boot,5.3.0-53-generic,2020-05-28 12:08:00.000000,2020-05-28 12:20:00.000000,0 days 00:12:00.000000000
2,reboot   system boot,5.3.0-53-generic,2020-05-26 13:09:00.000000,2020-05-28 12:21:00.000000,1 days 23:12:00.000000000
3,reboot   system boot,5.3.0-53-generic,2020-05-24 10:43:00.000000,2020-05-26 13:08:00.000000,2 days 02:25:00.000000000
4,reboot   system boot,5.3.0-51-generic,2020-05-21 17:16:00.000000,2020-05-24 10:42:00.000000,2 days 17:26:00.000000000
5,reboot   system boot,5.3.0-51-generic,2020-05-20 18:21:00.000000,2020-05-21 17:15:00.000000,0 days 22:54:00.000000000
6,reboot   system boot,5.3.0-51-generic,2020-05-17 08:52:00.000000,2020-05-20 18:19:00.000000,3 days 09:27:00.000000000
7,reboot   system boot,5.3.0-51-generic,2020-05-16 11:55:00.000000,2020-05-17 08:51:00.000000,0 days 20:56:00.000000000
8,reboot   system boot,5.3.0-51-generic,2020-05-12 17:36:00.000000,2020-05-16 11:53:00.000000,3 days 18:17:00.000000000
9,reboot   system boot,5.3.0-51-generic,2020-05-08 11:19:00.000000,2020-05-12 17:35:00.000000,4 days 06:16:00.000000000
10,reboot   system boot,5.3.0-51-generic,2020-05-07 22:17:00.000000,2020-05-12 17:35:00.000000,4 days 19:18:00.000000000
11,reboot   system boot,5.3.0-51-generic,2020-05-06 21:42:00.000000,2020-05-07 22:16:00.000000,1 days 00:34:00.000000000
12,reboot   system boot,5.3.0-51-generic,2020-05-06 16:56:00.000000,2020-05-07 22:16:00.000000,1 days 05:20:00.000000000
13,reboot   system boot,5.3.0-51-generic,2020-05-06 14:03:00.000000,2020-05-07 22:16:00.000000,1 days 08:13:00.000000000
14,reboot   system boot,5.3.0-51-generic,2020-05-06 10:49:00.000000,2020-05-07 22:17:00.000000,1 days 11:28:00.000000000
15,reboot   system boot,5.3.0-51-generic,2020-05-06 10:42:00.000000,2020-05-06 10:47:00.000000,0 days 00:05:00.000000000
16,reboot   system boot,5.3.0-51-generic,2020-05-04 18:29:00.000000,2020-05-05 23:36:00.000000,1 days 05:07:00.000000000
17,reboot   system boot,5.3.0-46-generic,2020-05-04 10:21:00.000000,2020-05-04 18:28:00.000000,0 days 08:07:00.000000000
18,reboot   system boot,5.3.0-46-generic,2020-04-29 10:10:00.000000,2020-05-04 10:19:00.000000,5 days 00:09:00.000000000
19,reboot   system boot,5.3.0-46-generic,2020-04-27 11:09:00.000000,2020-04-28 23:10:00.000000,1 days 12:01:00.000000000
20,reboot   system boot,5.3.0-46-generic,2020-04-26 20:32:00.000000,2020-04-26 23:05:00.000000,0 days 02:33:00.000000000
21,reboot   system boot,5.3.0-46-generic,2020-04-26 13:43:00.000000,2020-04-26 19:24:00.000000,0 days 05:41:00.000000000
22,reboot   system boot,5.3.0-46-generic,2020-04-25 17:00:00.000000,2020-04-25 23:09:00.000000,0 days 06:09:00.000000000
23,reboot   system boot,5.3.0-46-generic,2020-04-25 10:48:00.000000,2020-04-25 14:16:00.000000,0 days 03:28:00.000000000
24,reboot   system boot,5.3.0-46-generic,2020-04-24 09:30:00.000000,2020-04-25 01:08:00.000000,0 days 15:38:00.000000000
25,reboot   system boot,5.3.0-46-generic,2020-04-24 09:22:00.000000,2020-04-24 09:28:00.000000,0 days 00:06:00.000000000
26,reboot   system boot,5.3.0-46-generic,2020-04-23 09:03:00.000000,2020-04-23 23:51:00.000000,0 days 14:48:00.000000000
27,reboot   system boot,5.3.0-46-generic,2020-04-22 09:36:00.000000,2020-04-22 22:01:00.000000,0 days 12:25:00.000000000
28,reboot   system boot,5.3.0-46-generic,2020-04-21 09:24:00.000000,2020-04-21 23:06:00.000000,0 days 13:42:00.000000000
29,reboot   system boot,5.3.0-46-generic,2020-04-21 09:20:00.000000,2020-04-21 23:07:00.000000,0 days 13:47:00.000000000
30,reboot   system boot,5.3.0-46-generic,2020-04-20 09:37:00.000000,2020-04-20 23:06:00.000000,0 days 13:29:00.000000000
31,reboot   system boot,5.3.0-46-generic,2020-04-20 08:46:00.000000,2020-04-20 23:06:00.000000,0 days 14:20:00.000000000
32,reboot   system boot,5.3.0-46-generic,2020-04-19 11:17:00.000000,2020-04-20 00:01:00.000000,0 days 12:44:00.000000000
33,reboot   system boot,5.3.0-46-generic,2020-04-18 11:41:00.000000,2020-04-18 23:02:00.000000,0 days 11:21:00.000000000
34,reboot   system boot,5.3.0-46-generic,2020-04-17 11:42:00.000000,2020-04-17 23:31:00.000000,0 days 11:49:00.000000000
35,reboot   system boot,5.3.0-46-generic,2020-04-16 09:56:00.000000,2020-04-16 23:10:00.000000,0 days 13:14:00.000000000
36,reboot   system boot,5.3.0-46-generic,2020-04-15 12:10:00.000000,2020-04-15 22:34:00.000000,0 days 10:24:00.000000000
37,reboot   system boot,5.3.0-46-generic,2020-04-14 10:03:00.000000,2020-04-14 23:26:00.000000,0 days 13:23:00.000000000
38,reboot   system boot,5.3.0-46-generic,2020-04-13 10:46:00.000000,2020-04-14 00:20:00.000000,0 days 13:34:00.000000000
39,reboot   system boot,5.3.0-46-generic,2020-04-12 11:34:00.000000,2020-04-12 23:23:00.000000,0 days 11:49:00.000000000
40,reboot   system boot,5.3.0-46-generic,2020-04-12 00:47:00.000000,2020-04-12 00:48:00.000000,0 days 00:01:00.000000000
41,reboot   system boot,5.3.0-46-generic,2020-04-11 22:19:00.000000,2020-04-12 00:48:00.000000,0 days 02:29:00.000000000
42,reboot   system boot,5.3.0-46-generic,2020-04-11 10:32:00.000000,2020-04-11 22:13:00.000000,0 days 11:41:00.000000000
43,reboot   system boot,5.3.0-46-generic,2020-04-10 22:50:00.000000,2020-04-11 22:13:00.000000,0 days 23:23:00.000000000
44,reboot   system boot,5.3.0-46-generic,2020-04-10 21:36:00.000000,2020-04-10 22:13:00.000000,0 days 00:37:00.000000000
45,reboot   system boot,5.3.0-46-generic,2020-04-10 11:10:00.000000,2020-04-10 21:05:00.000000,0 days 09:55:00.000000000
46,reboot   system boot,5.3.0-46-generic,2020-04-09 11:24:00.000000,2020-04-10 00:40:00.000000,0 days 13:16:00.000000000
47,reboot   system boot,5.3.0-46-generic,2020-04-09 08:05:00.000000,2020-04-09 08:11:00.000000,0 days 00:06:00.000000000
48,reboot   system boot,5.3.0-46-generic,2020-04-08 23:36:00.000000,2020-04-08 23:38:00.000000,0 days 00:02:00.000000000
49,reboot   system boot,5.3.0-46-generic,2020-04-08 20:23:00.000000,2020-04-08 20:28:00.000000,0 days 00:05:00.000000000
50,reboot   system boot,5.3.0-46-generic,2020-04-08 18:26:00.000000,2020-04-08 18:41:00.000000,0 days 00:15:00.000000000
51,reboot   system boot,5.3.0-45-generic,2020-04-08 17:22:00.000000,2020-04-08 17:59:00.000000,0 days 00:37:00.000000000
52,reboot   system boot,5.3.0-45-generic,2020-04-08 16:49:00.000000,2020-04-08 17:03:00.000000,0 days 00:14:00.000000000
53,reboot   system boot,5.3.0-45-generic,2020-04-08 16:30:00.000000,2020-04-08 16:32:00.000000,0 days 00:02:00.000000000
54,reboot   system boot,5.3.0-45-generic,2020-04-08 16:22:00.000000,2020-04-08 16:28:00.000000,0 days 00:06:00.000000000
55,reboot   system boot,5.3.0-45-generic,2020-04-08 11:30:00.000000,2020-04-08 15:00:00.000000,0 days 03:30:00.000000000
56,reboot   system boot,5.3.0-45-generic,2020-04-08 10:55:00.000000,2020-04-08 15:01:00.000000,0 days 04:06:00.000000000
57,reboot   system boot,5.3.0-45-generic,2020-04-07 10:48:00.000000,2020-04-08 00:26:00.000000,0 days 13:38:00.000000000
58,reboot   system boot,5.3.0-45-generic,2020-04-06 19:52:00.000000,2020-04-06 23:50:00.000000,0 days 03:58:00.000000000
59,reboot   system boot,5.3.0-45-generic,2020-04-06 16:17:00.000000,2020-04-06 19:18:00.000000,0 days 03:01:00.000000000
60,reboot   system boot,5.3.0-45-generic,2020-04-06 10:51:00.000000,2020-04-06 14:02:00.000000,0 days 03:11:00.000000000
61,reboot   system boot,5.3.0-45-generic,2020-04-05 23:07:00.000000,2020-04-05 23:37:00.000000,0 days 00:30:00.000000000
62,reboot   system boot,5.3.0-45-generic,2020-04-05 17:40:00.000000,2020-04-05 22:45:00.000000,0 days 05:05:00.000000000
63,reboot   system boot,5.3.0-45-generic,2020-04-05 12:08:00.000000,2020-04-05 15:48:00.000000,0 days 03:40:00.000000000
64,reboot   system boot,5.3.0-45-generic,2020-04-05 11:22:00.000000,2020-04-05 11:24:00.000000,0 days 00:02:00.000000000
65,reboot   system boot,5.3.0-45-generic,2020-04-04 22:49:00.000000,2020-04-04 23:54:00.000000,0 days 01:05:00.000000000
66,reboot   system boot,5.3.0-45-generic,2020-04-04 14:20:00.000000,2020-04-04 22:49:00.000000,0 days 08:29:00.000000000
67,reboot   system boot,5.3.0-45-generic,2020-04-04 12:05:00.000000,2020-04-04 14:01:00.000000,0 days 01:56:00.000000000
68,reboot   system boot,5.3.0-45-generic,2020-04-04 12:00:00.000000,2020-04-04 14:00:00.000000,0 days 02:00:00.000000000
69,reboot   system boot,5.3.0-45-generic,2020-04-03 18:21:00.000000,2020-04-03 23:37:00.000000,0 days 05:16:00.000000000
70,reboot   system boot,5.3.0-45-generic,2020-04-03 17:25:00.000000,2020-04-03 17:26:00.000000,0 days 00:01:00.000000000
71,reboot   system boot,5.3.0-45-generic,2020-04-03 10:47:00.000000,2020-04-03 14:35:00.000000,0 days 03:48:00.000000000
72,reboot   system boot,5.3.0-45-generic,2020-04-02 14:52:00.000000,2020-04-03 00:20:00.000000,0 days 09:28:00.000000000
73,reboot   system boot,5.3.0-45-generic,2020-04-02 10:45:00.000000,2020-04-02 14:23:00.000000,0 days 03:38:00.000000000
74,reboot   system boot,5.3.0-45-generic,2020-04-01 21:57:00.000000,2020-04-01 23:47:00.000000,0 days 01:50:00.000000000
75,reboot   system boot,4.15.0-91-generi,2020-04-01 18:26:00.000000,2020-04-01 21:56:00.000000,0 days 03:30:00.000000000
76,reboot   system boot,4.15.0-91-generi,2020-04-01 12:17:00.000000,2020-04-01 17:48:00.000000,0 days 05:31:00.000000000
